feature,importance
clab_srte4_r1__eth2__tx_mbps,0.11973359437213466
clab_srte4_r1__eth2__util_pct,0.10926029940312745
clab_srte4_r4__eth1__tx_mbps__rollmean3,0.10759585875128368
clab_srte4_r4__eth1__util_pct__rollmean3,0.07872631346042043
clab_srte4_r4__eth2__rx_mbps__rollmean3,0.047650718571415694
clab_srte4_r4__eth2__rx_mbps,0.03780984695714407
clab_srte4_r4__eth1__util_pct__rollmean10,0.03330956179271442
clab_srte4_r4__eth1__tx_mbps__rollmean10,0.028331228287004268
clab_srte4_r4__eth1__tx_mbps,0.026334144016664503
clab_srte4_r1__eth1__rx_mbps__rollmean10,0.022351579572980517
clab_srte4_r1__eth1__rx_mbps__lag10,0.017922315697263828
clab_srte4_r2__eth2__rx_mbps__rollmean10,0.01750515020847462
clab_srte4_r1__eth2__util_pct__lag10,0.015594070068166295
clab_srte4_r1__eth2__tx_mbps__lag10,0.015386903674546494
network_mlu_pct,0.013803199839225065
clab_srte4_r4__eth1__tx_mbps__lag1,0.012548083640145008
clab_srte4_r3__eth2__util_pct,0.012203286306798823
ping_rtt_min_ms,0.011762655069042342
clab_srte4_r2__eth1__util_pct__rollmean10,0.011453039834435236
clab_srte4_r1__eth2__util_pct__lag1,0.010935546648993896
clab_srte4_r2__eth1__tx_mbps__rollmean10,0.010712930311781811
network_mlu_pct__rollmean10,0.008314622326876625
clab_srte4_r2__eth1__tx_mbps__lag10,0.008244014274869055
ping_rtt_avg_ms,0.007761123213839028
clab_srte4_r1__eth2__tx_mbps__lag1,0.007125887478338026
clab_srte4_r4__eth2__rx_mbps__rollmean10,0.006089746728194989
clab_srte4_r4__eth1__util_pct,0.005349760341652102
clab_srte4_r3__eth1__rx_mbps,0.0050247007552911595
clab_srte4_r1__eth1__rx_mbps__lag5,0.004856930459970681
clab_srte4_r4__eth1__util_pct__rollstd3,0.004775659847665688
clab_srte4_r2__eth2__rx_mbps__lag10,0.00446816243358328
clab_srte4_r2__eth1__util_pct__lag10,0.004317804209886691
clab_srte4_r4__eth1__tx_mbps__rollstd10,0.004126199908381283
clab_srte4_r1__eth2__is_hot_link__lag10,0.003776885198654309
clab_srte4_r1__eth1__rx_mbps__rollstd5,0.0037062811556135213
clab_srte4_r4__eth1__util_pct__lag1,0.0036561679464025745
clab_srte4_r1__eth1__rx_mbps__lag1,0.0034135694982625506
clab_srte4_r4__eth1__util_pct__rollmean5,0.0034035373461845206
clab_srte4_r1__eth1__rx_mbps__rollmean5,0.00335746141261915
