run_key,window_index,window_start_epoch_ms,window_end_epoch_ms,window_start_ts,window_end_ts,decision_window_s,event_id,rank,flow_type,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint,interval_count,active_seconds,transferred_mbits,throughput_mbps_mean,throughput_mbps_peak,retransmits_sum,loss_pct_mean,jitter_ms_mean,flow_share_pct,cumulative_share_pct,window_elephant_flow_count,window_total_elephant_mbits,window_topk_elephant_mbits,window_topk_share_pct
20260406_110812,0,1775444900000,1775444960000,2026-04-06T11:08:20.000+08:00,2026-04-06T11:09:20.000+08:00,60,elephant_1,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16200.436,899.974,902.005,6.0,0.0,0.0,48.653,48.653,3,33297.671,33297.671,100.0
20260406_110812,0,1775444900000,1775444960000,2026-04-06T11:08:20.000+08:00,2026-04-06T11:09:20.000+08:00,60,elephant_0,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.0,16194.488,899.694,901.489,0.0,0.0,0.0,48.635,97.289,3,33297.671,33297.671,100.0
20260406_110812,0,1775444900000,1775444960000,2026-04-06T11:08:20.000+08:00,2026-04-06T11:09:20.000+08:00,60,elephant_2,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.747,901.845,901.845,0.0,0.0,0.0,2.711,100.0,3,33297.671,33297.671,100.0
20260406_110812,1,1775444960000,1775445020000,2026-04-06T11:09:20.000+08:00,2026-04-06T11:10:20.000+08:00,60,elephant_2,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15295.441,899.732,904.036,1.0,0.0,0.0,94.426,94.426,2,16198.393,16198.393,100.0
20260406_110812,1,1775444960000,1775445020000,2026-04-06T11:09:20.000+08:00,2026-04-06T11:10:20.000+08:00,60,elephant_3,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.952,902.05,902.05,0.0,0.0,0.0,5.574,100.0,2,16198.393,16198.393,100.0
20260406_110812,2,1775445020000,1775445080000,2026-04-06T11:10:20.000+08:00,2026-04-06T11:11:20.000+08:00,60,elephant_4,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.002,16201.983,900.01,902.412,0.0,0.0,0.0,50.008,50.008,3,32398.515,32398.515,100.0
20260406_110812,2,1775445020000,1775445080000,2026-04-06T11:10:20.000+08:00,2026-04-06T11:11:20.000+08:00,60,elephant_3,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15294.025,899.649,901.594,16.0,0.0,0.0,47.206,97.214,3,32398.515,32398.515,100.0
20260406_110812,2,1775445020000,1775445080000,2026-04-06T11:10:20.000+08:00,2026-04-06T11:11:20.000+08:00,60,elephant_5,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.0,902.507,902.507,902.507,0.0,0.0,0.0,2.786,100.0,3,32398.515,32398.515,100.0
20260406_110812,3,1775445080000,1775445140000,2026-04-06T11:11:20.000+08:00,2026-04-06T11:12:20.000+08:00,60,elephant_5,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15296.486,899.74,900.364,0.0,0.0,0.0,94.44,94.44,2,16196.985,16196.985,100.0
20260406_110812,3,1775445080000,1775445140000,2026-04-06T11:11:20.000+08:00,2026-04-06T11:12:20.000+08:00,60,elephant_6,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.0,900.499,900.499,900.499,0.0,0.0,0.0,5.56,100.0,2,16196.985,16196.985,100.0
20260406_110812,4,1775445140000,1775445200000,2026-04-06T11:12:20.000+08:00,2026-04-06T11:13:20.000+08:00,60,elephant_7,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.002,16199.807,899.889,902.025,0.0,0.0,0.0,50.0,50.0,3,32399.562,32399.562,100.0
20260406_110812,4,1775445140000,1775445200000,2026-04-06T11:12:20.000+08:00,2026-04-06T11:13:20.000+08:00,60,elephant_6,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.002,15297.268,899.733,901.837,0.0,0.0,0.0,47.214,97.215,3,32399.562,32399.562,100.0
20260406_110812,4,1775445140000,1775445200000,2026-04-06T11:12:20.000+08:00,2026-04-06T11:13:20.000+08:00,60,elephant_8,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.487,901.585,901.585,0.0,0.0,0.0,2.785,100.0,3,32399.562,32399.562,100.0
20260406_110812,5,1775445200000,1775445260000,2026-04-06T11:13:20.000+08:00,2026-04-06T11:14:20.000+08:00,60,elephant_9,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16200.093,899.955,901.873,6.0,0.0,0.0,50.003,50.003,3,32398.488,32398.488,100.0
20260406_110812,5,1775445200000,1775445260000,2026-04-06T11:13:20.000+08:00,2026-04-06T11:14:20.000+08:00,60,elephant_8,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15295.499,899.735,901.807,0.0,0.0,0.0,47.211,97.213,3,32398.488,32398.488,100.0
20260406_110812,5,1775445200000,1775445260000,2026-04-06T11:13:20.000+08:00,2026-04-06T11:14:20.000+08:00,60,elephant_10,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.897,901.995,901.995,0.0,0.0,0.0,2.787,100.0,3,32398.488,32398.488,100.0
20260406_110812,6,1775445260000,1775445320000,2026-04-06T11:14:20.000+08:00,2026-04-06T11:15:20.000+08:00,60,elephant_11,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16200.358,899.97,902.055,0.0,0.0,0.0,49.998,49.998,3,32401.702,32401.702,100.0
20260406_110812,6,1775445260000,1775445320000,2026-04-06T11:14:20.000+08:00,2026-04-06T11:15:20.000+08:00,60,elephant_10,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15298.134,899.89,901.774,0.0,0.0,0.0,47.214,97.212,3,32401.702,32401.702,100.0
20260406_110812,6,1775445260000,1775445320000,2026-04-06T11:14:20.000+08:00,2026-04-06T11:15:20.000+08:00,60,elephant_12,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,903.21,902.308,902.308,0.0,0.0,0.0,2.788,100.0,3,32401.702,32401.702,100.0
20260406_110812,7,1775445320000,1775445380000,2026-04-06T11:15:20.000+08:00,2026-04-06T11:16:20.000+08:00,60,elephant_13,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16199.299,899.911,901.834,0.0,0.0,0.0,50.012,50.012,3,32390.996,32390.996,100.0
20260406_110812,7,1775445320000,1775445380000,2026-04-06T11:15:20.000+08:00,2026-04-06T11:16:20.000+08:00,60,elephant_12,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,16.997,15288.923,899.507,901.765,0.0,0.0,0.0,47.201,97.213,3,32390.996,32390.996,100.0
20260406_110812,7,1775445320000,1775445380000,2026-04-06T11:15:20.000+08:00,2026-04-06T11:16:20.000+08:00,60,elephant_14,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.775,901.873,901.873,0.0,0.0,0.0,2.787,100.0,3,32390.996,32390.996,100.0
20260406_110812,8,1775445380000,1775445440000,2026-04-06T11:16:20.000+08:00,2026-04-06T11:17:20.000+08:00,60,elephant_15,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16199.35,899.914,901.991,0.0,0.0,0.0,49.997,49.997,3,32400.61,32400.61,100.0
20260406_110812,8,1775445380000,1775445440000,2026-04-06T11:16:20.000+08:00,2026-04-06T11:17:20.000+08:00,60,elephant_14,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15298.504,899.912,902.137,0.0,0.0,0.0,47.217,97.214,3,32400.61,32400.61,100.0
20260406_110812,8,1775445380000,1775445440000,2026-04-06T11:16:20.000+08:00,2026-04-06T11:17:20.000+08:00,60,elephant_16,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.757,901.855,901.855,0.0,0.0,0.0,2.786,100.0,3,32400.61,32400.61,100.0
20260406_110812,9,1775445440000,1775445500000,2026-04-06T11:17:20.000+08:00,2026-04-06T11:18:20.000+08:00,60,elephant_17,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16197.976,899.838,907.44,7.0,0.0,0.0,50.0,50.0,3,32395.959,32395.959,100.0
20260406_110812,9,1775445440000,1775445500000,2026-04-06T11:17:20.000+08:00,2026-04-06T11:18:20.000+08:00,60,elephant_16,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15295.239,899.72,902.01,2.0,0.0,0.0,47.213,97.213,3,32395.959,32395.959,100.0
20260406_110812,9,1775445440000,1775445500000,2026-04-06T11:17:20.000+08:00,2026-04-06T11:18:20.000+08:00,60,elephant_18,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.744,901.842,901.842,0.0,0.0,0.0,2.787,100.0,3,32395.959,32395.959,100.0
20260406_110812,10,1775445500000,1775445560000,2026-04-06T11:18:20.000+08:00,2026-04-06T11:19:20.000+08:00,60,elephant_19,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.002,16196.112,899.684,901.83,0.0,0.0,0.0,51.426,51.426,2,31493.813,31493.813,100.0
