interval_start_ts,interval_end_ts,interval_start_epoch_ms,interval_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,rc,interval_index,interval_start_s,interval_end_s,interval_seconds,throughput_mbps,retransmits,jitter_ms,lost_percent,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint
2026-04-06T12:11:23.899+08:00,2026-04-06T12:11:24.900+08:00,1775448683899,1775448684900,mice,mice_0,medium,tcp,42,5202,2,1,20,0,0,0.0,1.001,1.001,20.95,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:24.900+08:00,2026-04-06T12:11:25.901+08:00,1775448684900,1775448685901,mice,mice_0,medium,tcp,42,5202,2,1,20,0,1,1.001,2.002,1.001,19.901,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:26.917+08:00,2026-04-06T12:11:27.918+08:00,1775448686917,1775448687918,mice,mice_1,medium,tcp,42,5202,1,1,20,0,0,0.0,1.001,1.001,20.944,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:30.940+08:00,2026-04-06T12:11:31.941+08:00,1775448690940,1775448691941,mice,mice_3,medium,tcp,42,5203,1,1,20,0,0,0.0,1.001,1.001,20.947,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:29.934+08:00,2026-04-06T12:11:30.934+08:00,1775448689934,1775448690934,mice,mice_2,medium,tcp,42,5202,3,1,20,0,0,0.0,1.0,1.0,20.963,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:30.934+08:00,2026-04-06T12:11:31.935+08:00,1775448690934,1775448691935,mice,mice_2,medium,tcp,42,5202,3,1,20,0,1,1.0,2.001,1.001,19.91,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:31.935+08:00,2026-04-06T12:11:32.936+08:00,1775448691935,1775448692936,mice,mice_2,medium,tcp,42,5202,3,1,20,0,2,2.001,3.002,1.001,19.912,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:31.946+08:00,2026-04-06T12:11:32.947+08:00,1775448691946,1775448692947,mice,mice_4,medium,tcp,42,5204,2,1,20,0,0,0.0,1.001,1.001,20.949,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:32.947+08:00,2026-04-06T12:11:33.947+08:00,1775448692947,1775448693947,mice,mice_4,medium,tcp,42,5204,2,1,20,0,1,1.001,2.001,1.0,19.916,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
2026-04-06T12:11:32.953+08:00,2026-04-06T12:11:33.955+08:00,1775448692953,1775448693955,mice,mice_5,medium,tcp,42,5203,3,1,20,0,0,0.0,1.002,1.002,20.94,0,,,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8
