actual_start_ts,actual_end_ts,actual_start_epoch_ms,actual_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,planned_start_s,planned_end_s,port,duration_s,parallel,target_bitrate_mbps,rc,throughput_mbps,jitter_ms,lost_percent,retransmits,start_mode,start_active_policy,start_policy_id,start_candidate_path_id,start_policy_seq,start_decision_id,start_cooldown_active,start_elephant_path_hint,start_topk_rank,start_ingress_node,start_controller_epoch_s,end_mode,end_active_policy,end_policy_id,end_candidate_path_id,end_policy_seq,end_decision_id,end_cooldown_active,end_elephant_path_hint,end_topk_rank,end_ingress_node,end_controller_epoch_s,raw_json_path,start_state_snapshot,end_state_snapshot
2026-04-05T14:51:16.749,2026-04-05T14:51:18.917,1775371876751,1775371878918,mice,mice_0,medium,tcp,42,2,4,5202,2,1,20,0,20.435,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_0.json,data/state_snapshots_20260405_145112/mice_0_start.json,data/state_snapshots_20260405_145112/mice_0_end.json
2026-04-05T14:51:19.766,2026-04-05T14:51:20.936,1775371879768,1775371880938,mice,mice_1,medium,tcp,42,5,6,5202,1,1,20,0,20.943,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_1.json,data/state_snapshots_20260405_145112/mice_1_start.json,data/state_snapshots_20260405_145112/mice_1_end.json
2026-04-05T14:51:23.789,2026-04-05T14:51:24.955,1775371883790,1775371884956,mice,mice_3,medium,tcp,42,9,10,5203,1,1,20,0,20.941,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_3.json,data/state_snapshots_20260405_145112/mice_3_start.json,data/state_snapshots_20260405_145112/mice_3_end.json
2026-04-05T14:51:22.783,2026-04-05T14:51:25.913,1775371882785,1775371885915,mice,mice_2,medium,tcp,42,8,11,5202,3,1,20,0,20.246,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_2.json,data/state_snapshots_20260405_145112/mice_2_start.json,data/state_snapshots_20260405_145112/mice_2_end.json
2026-04-05T14:51:24.795,2026-04-05T14:51:26.929,1775371884797,1775371886931,mice,mice_4,medium,tcp,42,10,12,5204,2,1,20,0,20.441,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_4.json,data/state_snapshots_20260405_145112/mice_4_start.json,data/state_snapshots_20260405_145112/mice_4_end.json
2026-04-05T14:51:25.802,2026-04-05T14:51:28.982,1775371885804,1775371888984,mice,mice_5,medium,tcp,42,11,14,5203,3,1,20,0,20.263,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_5.json,data/state_snapshots_20260405_145112/mice_5_start.json,data/state_snapshots_20260405_145112/mice_5_end.json
2026-04-05T14:51:26.811,2026-04-05T14:51:29.952,1775371886813,1775371889953,mice,mice_6,medium,tcp,42,12,15,5202,3,1,20,0,20.262,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_6.json,data/state_snapshots_20260405_145112/mice_6_start.json,data/state_snapshots_20260405_145112/mice_6_end.json
2026-04-05T14:51:27.822,2026-04-05T14:51:30.970,1775371887823,1775371890972,mice,mice_7,medium,tcp,42,13,16,5204,3,1,20,0,20.263,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_7.json,data/state_snapshots_20260405_145112/mice_7_start.json,data/state_snapshots_20260405_145112/mice_7_end.json
2026-04-05T14:51:28.827,2026-04-05T14:51:31.984,1775371888829,1775371891985,mice,mice_8,medium,tcp,42,14,17,5205,3,1,20,0,20.258,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_8.json,data/state_snapshots_20260405_145112/mice_8_start.json,data/state_snapshots_20260405_145112/mice_8_end.json
2026-04-05T14:51:29.835,2026-04-05T14:51:32.015,1775371889836,1775371892017,mice,mice_9,medium,tcp,42,15,17,5203,2,1,20,0,20.429,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_9.json,data/state_snapshots_20260405_145112/mice_9_start.json,data/state_snapshots_20260405_145112/mice_9_end.json
2026-04-05T14:51:31.847,2026-04-05T14:51:33.995,1775371891849,1775371893997,mice,mice_11,medium,tcp,42,17,19,5204,2,1,20,0,20.433,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_11.json,data/state_snapshots_20260405_145112/mice_11_start.json,data/state_snapshots_20260405_145112/mice_11_end.json
2026-04-05T14:51:30.841,2026-04-05T14:51:34.007,1775371890843,1775371894009,mice,mice_10,medium,tcp,42,16,19,5202,3,1,20,0,20.266,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_10.json,data/state_snapshots_20260405_145112/mice_10_start.json,data/state_snapshots_20260405_145112/mice_10_end.json
2026-04-05T14:51:32.853,2026-04-05T14:51:34.019,1775371892854,1775371894022,mice,mice_12,medium,tcp,42,18,19,5203,1,1,20,0,20.963,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_12.json,data/state_snapshots_20260405_145112/mice_12_start.json,data/state_snapshots_20260405_145112/mice_12_end.json
2026-04-05T14:51:34.867,2026-04-05T14:51:35.993,1775371894869,1775371895995,mice,mice_14,medium,tcp,42,20,21,5202,1,1,20,0,20.941,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_14.json,data/state_snapshots_20260405_145112/mice_14_start.json,data/state_snapshots_20260405_145112/mice_14_end.json
2026-04-05T14:51:35.874,2026-04-05T14:51:37.009,1775371895875,1775371897010,mice,mice_15,medium,tcp,42,21,22,5203,1,1,20,0,20.944,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_15.json,data/state_snapshots_20260405_145112/mice_15_start.json,data/state_snapshots_20260405_145112/mice_15_end.json
2026-04-05T14:51:33.860,2026-04-05T14:51:37.022,1775371893862,1775371897024,mice,mice_13,medium,tcp,42,19,22,5205,3,1,20,0,20.262,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_13.json,data/state_snapshots_20260405_145112/mice_13_start.json,data/state_snapshots_20260405_145112/mice_13_end.json
2026-04-05T14:51:19.765,2026-04-05T14:51:37.945,1775371879767,1775371897947,elephant,elephant_0,medium,tcp,42,5,23,5201,18,3,300,0,900.123,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/elephant_0.json,data/state_snapshots_20260405_145112/elephant_0_start.json,data/state_snapshots_20260405_145112/elephant_0_end.json
2026-04-05T14:51:37.885,2026-04-05T14:51:39.030,1775371897887,1775371899032,mice,mice_16,medium,tcp,42,23,24,5202,1,1,20,0,20.943,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_16.json,data/state_snapshots_20260405_145112/mice_16_start.json,data/state_snapshots_20260405_145112/mice_16_end.json
2026-04-05T14:51:38.891,2026-04-05T14:51:41.017,1775371898893,1775371901019,mice,mice_17,medium,tcp,42,24,26,5203,2,1,20,0,20.433,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_17.json,data/state_snapshots_20260405_145112/mice_17_start.json,data/state_snapshots_20260405_145112/mice_17_end.json
2026-04-05T14:51:39.898,2026-04-05T14:51:43.038,1775371899899,1775371903040,mice,mice_18,medium,tcp,42,25,28,5202,3,1,20,0,20.261,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_18.json,data/state_snapshots_20260405_145112/mice_18_start.json,data/state_snapshots_20260405_145112/mice_18_end.json
