interval_start_ts,interval_end_ts,interval_start_epoch_ms,interval_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,rc,interval_index,interval_start_s,interval_end_s,interval_seconds,throughput_mbps,retransmits,jitter_ms,lost_percent,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint
2026-04-05T14:14:39.406+08:00,2026-04-05T14:14:40.407+08:00,1775369679406,1775369680407,mice,mice_0,medium,tcp,42,5202,2,1,20,0,0,0.0,1.001,1.001,20.945,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:40.407+08:00,2026-04-05T14:14:41.407+08:00,1775369680407,1775369681407,mice,mice_0,medium,tcp,42,5202,2,1,20,0,1,1.001,2.001,1.0,19.923,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:42.426+08:00,2026-04-05T14:14:43.427+08:00,1775369682426,1775369683427,mice,mice_1,medium,tcp,42,5202,1,1,20,0,0,0.0,1.001,1.001,20.947,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:46.454+08:00,2026-04-05T14:14:47.455+08:00,1775369686454,1775369687455,mice,mice_3,medium,tcp,42,5203,1,1,20,0,0,0.0,1.001,1.001,20.944,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:45.448+08:00,2026-04-05T14:14:46.449+08:00,1775369685448,1775369686449,mice,mice_2,medium,tcp,42,5202,3,1,20,0,0,0.0,1.001,1.001,20.943,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:46.449+08:00,2026-04-05T14:14:47.449+08:00,1775369686449,1775369687449,mice,mice_2,medium,tcp,42,5202,3,1,20,0,1,1.001,2.001,1.0,19.928,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:47.449+08:00,2026-04-05T14:14:48.450+08:00,1775369687449,1775369688450,mice,mice_2,medium,tcp,42,5202,3,1,20,0,2,2.001,3.002,1.001,19.906,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:47.461+08:00,2026-04-05T14:14:48.461+08:00,1775369687461,1775369688461,mice,mice_4,medium,tcp,42,5204,2,1,20,0,0,0.0,1.0,1.0,20.962,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:48.461+08:00,2026-04-05T14:14:49.462+08:00,1775369688461,1775369689462,mice,mice_4,medium,tcp,42,5204,2,1,20,0,1,1.0,2.001,1.001,19.909,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:48.470+08:00,2026-04-05T14:14:49.471+08:00,1775369688470,1775369689471,mice,mice_5,medium,tcp,42,5203,3,1,20,0,0,0.0,1.001,1.001,20.948,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
